Company Name,Open,Close,Status
Avanse Financial Services Limited,,,
Enviro Infra Engineers Limited,22-Nov,26-Nov,Upcoming
NTPC Green Energy Limited,19-Nov,22-Nov,Current
Zinka Logistics Solution Limited,13-Nov,18-Nov,Closed
Niva Bupa Health Insurance Company Limited,7-Nov,11-Nov,Closed
ACME Solar Holdings Limited,6-Nov,8-Nov,Closed
Swiggy Limited,6-Nov,8-Nov,Closed
Sagility India Limited,5-Nov,7-Nov,Closed
Afcons Infrastructure Limited,25-Oct,29-Oct,Closed
Godavari Biorefineries Limited,23-Oct,25-Oct,Closed
Deepak Builders & Engineers India Limited,21-Oct,23-Oct,Closed
Waaree Energies Limited,21-Oct,23-Oct,Closed
Hyundai Motor India Limited,15-Oct,17-Oct,Closed
Garuda Construction and Engineering Limited,8-Oct,10-Oct,Closed
Diffusion Engineers Limited,26-Sep,30-Sep,Closed
KRN Heat Exchanger and Refrigeration Limited,25-Sep,27-Sep,Closed
Manba Finance Limited,23-Sep,25-Sep,Closed
Northern Arc Capital Limited,16-Sep,19-Sep,Closed
Arkade Developers Limited,16-Sep,19-Sep,Closed
Western Carriers (India) Limited,13-Sep,19-Sep,Closed
